node,in_degree_weekday,out_degree_weekday,in_degree_weekend,out_degree_weekend
ADMIRALTY,0.046931787339317,0.034836280313506,0.058808883102004,0.043585481143394
AIRPORT ROAD,0.006583941199206,0.00678179358803,0.001288779303854,0.001292148341194
ALEXANDRA HILL,0.132728073872867,0.106062146676983,0.132896590328943,0.097342492336653
ALEXANDRA NORTH,0.008088754768348,0.012806349556268,0.007812205308381,0.009590640428675
ALJUNIED,0.57281536409514,0.543160354751005,0.670540543461238,0.64301447800062
ANAK BUKIT,0.220673921497315,0.231766842241436,0.205977336810823,0.208091346593086
ANCHORVALE,0.147859875901764,0.147378118974358,0.148826075549978,0.154340030842002
ANG MO KIO TOWN CENTRE,0.237494593720332,0.247851323323116,0.27292995836366,0.277062676894917
ANSON,0.014412278268339,0.020449771298948,0.010232342029125,0.011856473462328
BALESTIER,0.18137593250047,0.179537011371582,0.202581918097025,0.207477873312793
BANGKIT,0.12775780731844,0.13888222129216,0.142333329075143,0.152669990991351
BAYFRONT SUBZONE,0.211031686568059,0.198547848144995,0.368834224621919,0.377327492148433
BAYSHORE,0.013783896970165,0.027948967827721,0.016024895544256,0.031086740150503
BEDOK NORTH,0.640641406903498,0.624026900568849,0.691148704029914,0.680030233511613
BEDOK RESERVOIR,0.149821101100888,0.160594079853198,0.151110809042041,0.164294224137835
BEDOK SOUTH,0.262421673122775,0.266466690837458,0.266426821814925,0.267274736722471
BENCOOLEN,0.09549141790299,0.091356904069002,0.112292177827184,0.107515815419787
BENDEMEER,0.27545709297302,0.282229113715867,0.272018874555954,0.273392082995472
BENOI SECTOR,0.011331209748775,0.013490626292245,0.006955980957439,0.008328990812155
BIDADARI,0.088901327971038,0.101378536530387,0.071979959927973,0.081603775216804
BISHAN EAST,0.50391051252858,0.46660100713746,0.470733373349595,0.435391474686075
BOAT QUAY,0.027214699369437,0.012097438082941,0.026142022509536,0.01142808363427
BOON KENG,0.154927135701796,0.154450572683663,0.204069682725427,0.206093826293552
BOON LAY PLACE,0.138740812799486,0.13546132054027,0.163507427659902,0.164955793144979
BOON TECK,0.068470309886567,0.054837889124866,0.079817132281483,0.056424934048837
BOULEVARD,0.633311451140448,0.561114118045716,0.911477946531689,0.839912092485363
BRADDELL,0.058643258087344,0.057887455067334,0.05370068416024,0.056352293936124
BRAS BASAH,0.110175760545398,0.103821468691718,0.107792088228459,0.107864555458507
BRICKWORKS,0.06557708108885,0.064277747951349,0.069223126773683,0.06418879111887
BUGIS,0.221909951920561,0.214026697288909,0.2644699241406,0.264001564321203
BUKIT BATOK CENTRAL,0.385862493430976,0.38022183050732,0.382902733274524,0.379252995852162
BUKIT BATOK EAST,0.05629987671767,0.068776472487832,0.06941036855093,0.077835195998114
BUKIT BATOK SOUTH,0.08320784949512,0.07937231424993,0.075614023326558,0.078877276866827
BUKIT BATOK WEST,0.063186836102964,0.053030183058104,0.067589346525227,0.061662763229656
BUKIT HO SWEE,0.044355600379911,0.042926333359724,0.047622005729935,0.047863715302549
BUKIT MERAH,0.104806275180382,0.088909926169509,0.085289540896376,0.07377892031823
CECIL,0.042998068006834,0.043645466485406,0.012548094561903,0.013549720016509
CENTRAL SUBZONE,0.250917818242866,0.221195085276007,0.081690847411668,0.062421691878437
CENTRAL WATER CATCHMENT,0.032346788817719,0.031571909026226,0.042226848651315,0.043005188225799
CHANGI AIRPORT,0.333590857081153,0.321961006901267,0.425064733094159,0.427907848761381
CHANGI POINT,0.023431420074988,0.02187372981543,0.046672840399399,0.04265475884734
CHANGI WEST,0.034455731289531,0.053995885062971,0.027174142212609,0.044101203243066
CHATSWORTH,0.050551773630437,0.051386021882377,0.053306944850345,0.057533889180071
CHENG SAN,0.500891585508879,0.507568478812778,0.487553047897617,0.488690898537228
CHIN BEE,0.025951757840667,0.020515863354553,0.015808465513935,0.011995824047988
CHINA SQUARE,0.108513994166244,0.101034491106662,0.125142590436732,0.095121494497018
CHINATOWN,0.504930168548784,0.511198609512398,0.507392152098881,0.527803234270997
CHOA CHU KANG CENTRAL,0.532610009217344,0.525754925993646,0.544183967221024,0.542861974941873
CHOA CHU KANG NORTH,0.063511303944141,0.073010644344054,0.063132282508688,0.071692047261733
CHONG BOON,0.168863830582771,0.119880278681405,0.167028912262641,0.129230375203316
CITY HALL,0.447685820091483,0.421099494139251,0.566821052801662,0.557078769858845
CITY TERMINALS,0.020555032893705,0.016380469175205,0.018767631211716,0.013340795755157
CLARKE QUAY,0.211605521555013,0.207409971820685,0.198396211541522,0.192058776172433
CLEMENTI CENTRAL,0.25727960189481,0.289475603634041,0.256664646254973,0.288003494151843
CLEMENTI NORTH,0.472433889642976,0.456005430936735,0.440498821987719,0.431969437720807
CLEMENTI WEST,0.07611573676335,0.062917119986767,0.083172912426899,0.073177043206391
CLEMENTI WOODS,0.082694769952041,0.083535334111294,0.087087128794078,0.082244819693494
CLIFFORD PIER,0.027026951790357,0.025961210713473,0.0122361904439,0.015909490972727
COMMONWEALTH,0.144764455075091,0.163580344484859,0.134010594441893,0.149863935277875
COMPASSVALE,0.20826114563236,0.214976356937454,0.201607025354565,0.203654346114991
CORONATION ROAD,0.08974166802909,0.090170037254007,0.073835334516604,0.069594818207597
CRAWFORD,0.103621272586416,0.093179361363671,0.115196874675654,0.109645907524865
DAIRY FARM,0.036615609779946,0.03806572141778,0.03194271665288,0.031283295696419
DEFU INDUSTRIAL PARK,0.050115620893846,0.033403149992004,0.041062080243534,0.030514615970441
DEPOT ROAD,0.027508307599488,0.023147936574753,0.022805145209795,0.020840850016781
DHOBY GHAUT,0.320585375545512,0.311338588796168,0.372448492139937,0.368668988306086
DOVER,0.068225135493936,0.058221558420023,0.058268682430123,0.046495654134087
DUNEARN,0.021442040552746,0.034041134394593,0.022889726458824,0.035272176124377
EAST COAST,,,0.001834538102012,0.003303298846128
EVERTON PARK,0.052185466015402,0.042219592652463,0.050584602828948,0.040390129502631
FABER,0.024686048660324,0.027643290275768,0.021297907382063,0.02404348209679
FAJAR,0.077473530345264,0.076685410468231,0.081486556260723,0.081872858780407
FARRER COURT,0.057061217800605,0.052566578889774,0.056436567641762,0.052220721757401
FARRER PARK,0.423111498618421,0.392407517561191,0.650070986210451,0.635292727551722
FERNVALE,0.170066735876834,0.178292682268126,0.176533839024059,0.188274019523634
FLORA DRIVE,0.043682869361009,0.041677524049645,0.038381450408455,0.041280411639648
FORT CANNING,0.022230309027787,0.014626280368897,0.022090995595832,0.018939642279124
FRANKEL,0.240805485158847,0.185805533145736,0.255723292610957,0.199546429919007
GALI BATU,0.049255087976357,0.046000574777699,0.063353467309287,0.062896034852256
GEYLANG BAHRU,0.111169577800596,0.110314291135362,0.103247327261746,0.103377137140472
GEYLANG EAST,0.651790419637498,0.654319029821575,0.770843379751512,0.787587518147537
GHIM MOH,0.039958810374977,0.03883133735513,0.043021355679246,0.042047625591494
GOMBAK,0.229160167206275,0.254163508605368,0.227055365685923,0.259582621646551
GOODWOOD PARK,0.010373546825823,0.006866070715613,0.009595986985102,0.00736343772768
GREENWOOD PARK,0.019959619645087,0.015576517840152,0.005876180170061,0.013479325376759
GUILIN,0.190979876951868,0.17559925804248,0.191875869712,0.180751215758317
GUL BASIN,0.01255444593776,0.002951908502076,0.010757451924009,0.003155677272504
GUL CIRCLE,0.038857684988274,0.047640541137125,0.031564413978023,0.040143621700429
HENDERSON HILL,0.07498269561506,0.084998952001887,0.08005935128389,0.092736965588509
HILLCREST,0.018100874614249,0.020816731109673,0.015414922449472,0.020564786725848
HILLVIEW,0.058277756522848,0.054364264779689,0.055776911026603,0.051876043630062
HOLLAND DRIVE,0.049440098733725,0.051253177416571,0.052653231058022,0.053914751752044
HOLLAND ROAD,0.120814759938246,0.13505967883775,0.082936718068942,0.094134433670852
HONG KAH,0.230632275700116,0.225898246738418,0.265859590446153,0.259341531969516
HONG KAH NORTH,0.065631502612445,0.080890932237275,0.069362014320468,0.085270321558575
HOUGANG CENTRAL,0.439747474922443,0.416741267588346,0.443397308335409,0.421489376883374
HOUGANG EAST,0.08007964926249,0.08014789434302,0.087319307640159,0.084156513187117
HOUGANG WEST,0.182040222661767,0.190143804661499,0.195525790005358,0.207247139144521
INSTITUTION HILL,0.011962519759609,0.008963468548332,0.013628623532029,0.010454179608583
INTERNATIONAL BUSINESS PARK,0.013869768131311,0.014615034994588,0.005944712958024,0.007612387971457
ISTANA NEGARA,0.000914704064401,0.00221489763735,0.001231406062861,0.001490725389876
JELEBU,0.344017228666212,0.313210160970871,0.365034036611554,0.33561516498076
JOO KOON,0.202644369540954,0.211957291856528,0.17296069310119,0.177704666730483
JOO SENG,0.186627498744519,0.179865801042875,0.118592740781837,0.112650976808643
JURONG GATEWAY,0.850450546310872,0.81456411630207,0.939660106494209,0.924393485311373
JURONG PORT,0.016143420284699,0.00997613828795,0.010931162260546,0.007789896969894
JURONG RIVER,0.017979989880302,0.022090447021211,0.028307195122986,0.026113269272593
JURONG WEST CENTRAL,0.995756235561423,1,0.991805543124065,0.995250621097984
KAKI BUKIT,0.331423276441164,0.314159315153968,0.299135734747731,0.294414726104755
KALLANG BAHRU,0.127044514658553,0.104054968570155,0.090163638660113,0.078573651099403
KALLANG WAY,0.049828574979543,0.056970950201745,0.027246120813011,0.034667251103814
KAMPONG BUGIS,0.031241586821987,0.026263085332348,0.043527571120484,0.037231701288658
KAMPONG GLAM,0.016923310858648,0.017437401802074,0.019906211847572,0.021263325986055
KAMPONG JAVA,0.099124047422583,0.083076965912329,0.099314535179321,0.074216077325415
KAMPONG TIONG BAHRU,0.056913651336203,0.048134090181261,0.060316278690167,0.046557288625624
KAMPONG UBI,0.205590472734368,0.191627127484004,0.165011164618984,0.149529517681711
KANGKAR,0.091101331526196,0.099241315522316,0.092245314451546,0.103139831399944
KATONG,0.065373245510729,0.060602274661617,0.075124959112941,0.070341935868848
KEAT HONG,0.097782223317913,0.071484692042439,0.097618822347476,0.074641515562849
KEBUN BAHRU,0.072864720763541,0.093458068909307,0.077893935346332,0.098789180949885
KEMBANGAN,0.23337932648146,0.215201558877303,0.235488507129308,0.226961368210826
KENT RIDGE,0.016010324799342,0.019364058911274,0.007284128935223,0.007768046984253
KHATIB,0.384902786274408,0.315885682851064,0.37027297484126,0.303134722701968
KIAN TECK,0.038765901697705,0.025020102050389,0.030031995360921,0.021268450985778
KIM KEAT,0.017391966798773,0.038127927626428,0.017568869777077,0.041475412121142
KOVAN,0.216887125114913,0.216507384125708,0.237703136988473,0.245734387987399
KRANJI,0.034625415940262,0.033646617283779,0.050822408370538,0.039522375639632
LAKESIDE,0.105063557220477,0.09625833151196,0.110842751115515,0.108604155989431
LAVENDER,0.261364458232452,0.267810698974293,0.302218902154112,0.290329405182367
LEEDON PARK,0.088848282144873,0.086129203869781,0.089963761442402,0.089217389679082
LEONIE HILL,0.010213263751326,0.010956188399337,0.010181140665804,0.010093098894938
