ind,clusters,flow,node,ori_index,level_1,level_2
0,1:1,0.0168312,BOULEVARD,100,1,1_1
1,1:2,0.0115065,FARRER PARK,173,1,1_2
2,1:3,0.0114524,NEWTON CIRCUS,189,1,1_3
3,1:4,0.0105287,CITY HALL,93,1,1_4
4,1:5,0.010234700000000001,VICTORIA,202,1,1_5
5,1:6,0.0101691,SOMERSET,92,1,1_6
6,1:7,0.00907121,DHOBY GHAUT,234,1,1_7
7,1:8,0.008929600000000001,CHINATOWN,54,1,1_8
8,1:9,0.00879146,MOULMEIN,97,1,1_9
9,1:10,0.00716132,BAYFRONT SUBZONE,267,1,1_10
10,1:11,0.00675669,LAVENDER,78,1,1_11
11,1:12,0.00654547,BENDEMEER,162,1,1_12
12,1:13,0.00629119,BUGIS,142,1,1_13
13,1:14,0.00487482,CLARKE QUAY,10,1,1_14
14,1:15,0.00456971,BOON KENG,187,1,1_15
15,1:16,0.00420177,MARINA CENTRE,118,1,1_16
16,1:17,0.00360598,PEOPLE'S PARK,154,1,1_17
17,1:18,0.0035391999999999997,KAMPONG JAVA,60,1,1_18
18,1:19,0.00335891,BRAS BASAH,167,1,1_19
19,1:20,0.00312194,BENCOOLEN,223,1,1_20
20,1:21,0.00283562,CRAWFORD,83,1,1_21
21,1:22,0.00278922,CHINA SQUARE,257,1,1_22
22,1:23,0.00277424,GEYLANG BAHRU,117,1,1_23
23,1:24,0.00266135,POTONG PASIR,239,1,1_24
24,1:25,0.00249817,KALLANG BAHRU,160,1,1_25
25,1:26,0.00234954,RAFFLES PLACE,280,1,1_26
26,1:27,0.00213334,SUNGEI ROAD,129,1,1_27
27,1:28,0.00192752,PEARL'S HILL,6,1,1_28
28,1:29,0.00184672,ROBERTSON QUAY,219,1,1_29
29,1:30,0.00177684,TANJONG PAGAR,213,1,1_30
30,1:31,0.00175989,CENTRAL SUBZONE,114,1,1_31
31,1:32,0.00168017,SENNETT,124,1,1_32
32,1:33,0.00160484,NASSIM,230,1,1_33
33,1:34,0.00149948,CHATSWORTH,254,1,1_34
34,1:35,0.00118104,MACKENZIE,171,1,1_35
35,1:36,0.0008586539999999999,SELEGIE,123,1,1_36
36,1:37,0.000824227,WOODLEIGH,277,1,1_37
37,1:38,0.000763572,MALCOLM,164,1,1_38
38,1:39,0.00072842,FORT CANNING,243,1,1_39
39,1:40,0.000721912,BOAT QUAY,229,1,1_40
40,1:41,0.0007005469999999999,INSTITUTION HILL,288,1,1_41
41,1:42,0.0006755210000000001,ONE TREE HILL,188,1,1_42
42,1:43,0.000621817,ROCHOR CANAL,82,1,1_43
43,1:44,0.000608386,KAMPONG GLAM,156,1,1_44
44,1:45,0.000600912,PATERSON,265,1,1_45
45,1:46,0.000585648,GOODWOOD PARK,67,1,1_46
46,1:47,0.000393777,LEONIE HILL,16,1,1_47
47,1:48,0.000384311,ORANGE GROVE,294,1,1_48
48,1:49,0.00038109900000000003,STRAITS VIEW,299,1,1_49
49,1:50,0.00037019300000000005,CECIL,207,1,1_50
50,1:51,0.00033115099999999996,CLIFFORD PIER,214,1,1_51
51,1:52,0.000308933,ANSON,9,1,1_52
52,1:53,0.000296749,LITTLE INDIA,228,1,1_53
53,1:54,0.00021255900000000002,OXLEY,208,1,1_54
54,1:55,0.000152074,MAXWELL,233,1,1_55
55,1:56,0.000149558,TANGLIN,289,1,1_56
56,1:57,0.00014060399999999998,MARINA SOUTH,300,1,1_57
57,1:58,0.000135783,MONK'S HILL,197,1,1_58
58,1:59,5.9432600000000004e-05,ISTANA NEGARA,284,1,1_59
59,1:60,4.1101899999999994e-05,PHILLIP,302,1,1_60
60,2:1,0.0160969,SENGKANG TOWN CENTRE,13,2,2_1
61,2:2,0.0120795,HOUGANG CENTRAL,91,2,2_2
62,2:3,0.0106939,MATILDA,178,2,2_3
63,2:4,0.00953782,BISHAN EAST,57,2,2_4
64,2:5,0.00724339,HOUGANG WEST,141,2,2_5
65,2:6,0.00700575,RIVERVALE,47,2,2_6
66,2:7,0.00582508,PUNGGOL FIELD,151,2,2_7
67,2:8,0.00536799,ANCHORVALE,14,2,2_8
68,2:9,0.00487874,COMPASSVALE,106,2,2_9
69,2:10,0.00481469,TRAFALGAR,18,2,2_10
70,2:11,0.00385489,MARYMOUNT,15,2,2_11
71,2:12,0.00381833,WATERWAY EAST,140,2,2_12
72,2:13,0.00359231,FERNVALE,149,2,2_13
73,2:14,0.00355165,UPPER THOMSON,90,2,2_14
74,2:15,0.00354614,KANGKAR,134,2,2_15
75,2:16,0.00324092,HOUGANG EAST,73,2,2_16
76,2:17,0.00227613,PUNGGOL TOWN CENTRE,150,2,2_17
77,2:18,0.00051259,SELETAR,222,2,2_18
78,2:19,0.000303473,NORTHSHORE,298,2,2_19
79,2:20,0.000130282,SELETAR AEROSPACE PARK,224,2,2_20
80,3:1,0.022136700000000002,JURONG WEST CENTRAL,126,3,3_1
81,3:2,0.017286700000000002,JURONG GATEWAY,138,3,3_2
82,3:3,0.0116625,YUNNAN,119,3,3_3
83,3:4,0.00703996,HONG KAH,26,3,3_4
84,3:5,0.00604782,TAMAN JURONG,21,3,3_5
85,3:6,0.00569529,BOON LAY PLACE,122,3,3_6
86,3:7,0.00468578,YUHUA EAST,87,3,3_7
87,3:8,0.0041457,TOH GUAN,169,3,3_8
88,3:9,0.00356916,YUHUA WEST,121,3,3_9
89,3:10,0.00281522,TEBAN GARDENS,1,3,3_10
90,3:11,0.00263457,JOO KOON,191,3,3_11
91,3:12,0.00209933,LAKESIDE,37,3,3_12
92,3:13,0.00161845,TOH TUCK,88,3,3_13
93,3:14,0.00121624,KIAN TECK,148,3,3_14
94,3:15,0.0010387,WESTERN WATER CATCHMENT,159,3,3_15
95,3:16,0.0008840160000000001,WENYA,271,3,3_16
96,3:17,0.000629955,CHIN BEE,258,3,3_17
97,3:18,0.000599791,JURONG RIVER,22,3,3_18
98,3:19,0.000594675,GUL CIRCLE,282,3,3_19
99,3:20,0.000377076,PENJURU CRESCENT,270,3,3_20
100,3:21,0.000358016,LIU FANG,194,3,3_21
101,3:22,0.000353665,TUKANG,190,3,3_22
102,3:23,0.000289373,BENOI SECTOR,255,3,3_23
103,3:24,0.000283176,TENGAH,281,3,3_24
104,3:25,0.00022798799999999999,GUL BASIN,297,3,3_25
105,3:26,0.00019230900000000002,JURONG PORT,249,3,3_26
106,3:27,0.000186766,INTERNATIONAL BUSINESS PARK,236,3,3_27
107,3:28,0.000126434,SAMULUN,269,3,3_28
108,3:29,8.4405e-05,SAFTI,283,3,3_29
109,3:30,7.68054e-05,PIONEER SECTOR,272,3,3_30
110,3:31,7.32078e-05,SHIPYARD,275,3,3_31
111,4:1,0.0122844,ALJUNIED,12,4,4_1
112,4:2,0.0119836,BEDOK NORTH,4,4,4_2
113,4:3,0.0117377,GEYLANG EAST,5,4,4_3
114,4:4,0.00494511,FRANKEL,96,4,4_4
115,4:5,0.00483494,KAKI BUKIT,44,4,4_5
116,4:6,0.00482231,BEDOK SOUTH,99,4,4_6
117,4:7,0.00463059,KEMBANGAN,105,4,4_7
118,4:8,0.004313399999999999,MACPHERSON,11,4,4_8
119,4:9,0.00349295,MARINE PARADE,152,4,4_9
120,4:10,0.00339912,KAMPONG UBI,76,4,4_10
121,4:11,0.00338238,BEDOK RESERVOIR,35,4,4_11
122,4:12,0.0020567,KATONG,211,4,4_12
123,4:13,0.00197346,TANJONG RHU,168,4,4_13
124,4:14,0.00115316,KAMPONG BUGIS,101,4,4_14
125,4:15,0.000950368,MOUNTBATTEN,221,4,4_15
126,4:16,0.000927498,KALLANG WAY,128,4,4_16
127,4:17,0.000742198,DEFU INDUSTRIAL PARK,56,4,4_17
128,4:18,0.000495731,BAYSHORE,166,4,4_18
129,4:19,0.000487787,SIGLAP,61,4,4_19
130,4:20,0.000104999,AIRPORT ROAD,248,4,4_20
131,4:21,4.5605e-05,EAST COAST,304,4,4_21
132,4:22,2.93534e-06,MARINA EAST (MP),305,4,4_22
133,5:1,0.011062200000000001,TIONG BAHRU STATION,135,5,5_1
134,5:2,0.00818151,MARITIME SQUARE,20,5,5_2
135,5:3,0.00441088,REDHILL,65,5,5_3
136,5:4,0.00405287,HENDERSON HILL,66,5,5_4
137,5:5,0.00399547,TIONG BAHRU,210,5,5_5
138,5:6,0.0039616,ALEXANDRA HILL,113,5,5_6
139,5:7,0.00375926,BUKIT MERAH,172,5,5_7
140,5:8,0.00333216,TELOK BLANGAH RISE,109,5,5_8
141,5:9,0.0030581999999999996,MEI CHIN,170,5,5_9
142,5:10,0.0028569000000000003,TELOK BLANGAH DRIVE,103,5,5_10
143,5:11,0.00279781,TELOK BLANGAH WAY,110,5,5_11
144,5:12,0.00260356,SINGAPORE GENERAL HOSPITAL,104,5,5_12
145,5:13,0.00252821,KAMPONG TIONG BAHRU,184,5,5_13
146,5:14,0.00194374,BUKIT HO SWEE,232,5,5_14
147,5:15,0.00148904,MARGARET DRIVE,153,5,5_15
148,5:16,0.00147861,EVERTON PARK,204,5,5_16
149,5:17,0.000934445,DEPOT ROAD,212,5,5_17
150,5:18,0.00051663,QUEENSWAY,175,5,5_18
151,5:19,0.00046861699999999995,CITY TERMINALS,231,5,5_19
152,5:20,0.000299872,PASIR PANJANG 2,79,5,5_20
153,5:21,0.000254149,SENTOSA,301,5,5_21
154,5:22,0.000230234,ALEXANDRA NORTH,256,5,5_22
155,5:23,0.000177152,KENT RIDGE,225,5,5_23
156,6:1,0.0132149,CHOA CHU KANG CENTRAL,102,6,6_1
157,6:2,0.0110139,JELEBU,89,6,6_2
158,6:3,0.00522546,TECK WHYE,84,6,6_3
159,6:4,0.00457097,BANGKIT,32,6,6_4
160,6:5,0.00410962,SAUJANA,266,6,6_5
161,6:6,0.004100100000000001,YEW TEE,111,6,6_6
162,6:7,0.00382001,PENG SIANG,85,6,6_7
163,6:8,0.00368902,FAJAR,242,6,6_8
164,6:9,0.0035663000000000005,KEAT HONG,139,6,6_9
165,6:10,0.00342929,SENJA,31,6,6_10
166,6:11,0.00330232,CHOA CHU KANG NORTH,112,6,6_11
167,6:12,0.000815312,DAIRY FARM,147,6,6_12
168,7:1,0.0206211,WOODLANDS REGIONAL CENTRE,40,7,7_1
169,7:2,0.00820806,WOODLANDS EAST,81,7,7_2
170,7:3,0.00786688,WOODLANDS WEST,137,7,7_3
171,7:4,0.00596321,NORTH COAST,53,7,7_4
172,7:5,0.00578288,MIDVIEW,7,7,7_5
173,7:6,0.00321787,WOODLANDS SOUTH,8,7,7_6
174,7:7,0.0028566,TURF CLUB,157,7,7_7
175,7:8,0.00206544,WOODGROVE,52,7,7_8
176,7:9,0.00106872,GALI BATU,237,7,7_9
177,7:10,0.000934339,SENOKO WEST,116,7,7_10
178,7:11,0.0008325030000000001,KRANJI,203,7,7_11
179,7:12,0.000689888,SENOKO SOUTH,165,7,7_12
180,7:13,0.000312351,GREENWOOD PARK,245,7,7_13
181,7:14,0.000150259,RESERVOIR VIEW,217,7,7_14
182,7:15,6.12336e-05,LIM CHU KANG,285,7,7_15
183,7:16,5.10546e-05,PANG SUA,292,7,7_16
184,8:1,0.0170637,TAMPINES EAST,23,8,8_1
185,8:2,0.0104486,PASIR RIS CENTRAL,43,8,8_2
186,8:3,0.00753884,TAMPINES WEST,41,8,8_3
187,8:4,0.00528314,PASIR RIS DRIVE,195,8,8_4
188,8:5,0.00525173,SIMEI,49,8,8_5
189,8:6,0.00377579,PASIR RIS WEST,185,8,8_6
190,8:7,0.00255937,CHANGI AIRPORT,24,8,8_7
191,8:8,0.00193198,PASIR RIS PARK,199,8,8_8
192,8:9,0.00166866,XILIN,238,8,8_9
193,8:10,0.0009817489999999999,FLORA DRIVE,48,8,8_10
194,8:11,0.000794636,TAMPINES NORTH,193,8,8_11
195,8:12,0.000576755,CHANGI WEST,143,8,8_12
196,8:13,0.000556909,CHANGI POINT,155,8,8_13
197,8:14,0.0005307819999999999,PAYA LEBAR NORTH,125,8,8_14
198,8:15,0.000450744,LOYANG WEST,45,8,8_15
199,8:16,0.000250485,PASIR RIS WAFER FAB PARK,186,8,8_16
200,8:17,0.000207225,LOYANG EAST,180,8,8_17
201,8:18,9.152969999999999e-05,PAYA LEBAR EAST,290,8,8_18
