ind,node,level_1_weekday,level_1_weekend,weekday_com_ent_in,weekday_com_ent_out,weekend_com_ent_in,weekend_com_ent_out
0,BOULEVARD,1.0,1,0.7827411698544117,0.7646331633311346,0.8139956793663812,0.7696096858792859
1,NEWTON CIRCUS,1.0,1,0.6789531211966356,0.6298044191162259,0.6618556780118479,0.6092871883437566
2,CHINATOWN,1.0,1,0.7465569503665029,0.7514836429653228,0.7408960005805684,0.7437943853139718
3,CITY HALL,1.0,1,0.7749495920873626,0.7820288680791643,0.8070717702332658,0.8059937622747416
4,MOULMEIN,1.0,1,0.7555187401924585,0.7284359922358005,0.7267194188723084,0.6676934988732052
5,FARRER PARK,1.0,1,0.7329634309969928,0.7549716299991515,0.7589123050213019,0.7681305256650889
6,SOMERSET,1.0,1,0.7268290037651642,0.756148079807185,0.7371552210299408,0.7539996115401568
7,VICTORIA,1.0,1,0.7084259266038253,0.7434734742651645,0.7368498195500516,0.7580384225130935
8,DHOBY GHAUT,1.0,1,0.7130976708820054,0.745383399316295,0.7085665003912104,0.730837109653421
9,RAFFLES PLACE,1.0,1,0.8320601544492716,0.7821284284356628,0.7624636297855711,0.7058596214325883
10,LAVENDER,1.0,1,0.7164143647439555,0.7395882389565872,0.6588381581848198,0.6956521195173389
11,BUGIS,1.0,1,0.658501318695063,0.5953393358004795,0.6275931506813975,0.5701590978365474
12,CLARKE QUAY,1.0,1,0.7172359804709385,0.695005183789508,0.6614323744710616,0.6592074580509026
13,TANJONG PAGAR,1.0,1,0.8685843874481162,0.832442769656786,0.8325085354707511,0.7799679584378306
14,BAYFRONT SUBZONE,1.0,1,0.6042748613110744,0.6289765397941294,0.6066236731534281,0.6262920853794269
15,CENTRAL SUBZONE,1.0,1,0.7162115408258555,0.6944024215473306,0.5740736005264117,0.5900230754455366
16,PEOPLE'S PARK,1.0,1,0.7119902954900247,0.7309429173360128,0.6172847251858083,0.6633952219653683
17,KAMPONG JAVA,1.0,1,0.5600648241419082,0.559086300099664,0.5379997643210278,0.5498924702842162
18,MARINA CENTRE,1.0,1,0.6783633611968909,0.6828484851650622,0.6691861820590603,0.7056501397492086
