ind,node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core,weekday_in_core_lvl,weekday_out_core_lvl,weekend_in_core_lvl,weekend_out_core_lvl
0,TENGEH,271.0,315.0,232,264,0,0,0,0
1,MARINA SOUTH,349.0,317.0,371,331,0,0,0,0
2,SAFTI,412.0,1441.0,340,1019,0,0,0,0
3,PIONEER SECTOR,499.0,699.0,404,563,0,0,0,0
4,TUAS VIEW EXTENSION,650.0,620.0,740,635,0,0,0,0
5,LORONG HALUS,651.0,486.0,558,301,0,0,0,0
6,THE WHARVES,652.0,1564.0,694,1539,0,0,0,0
7,SEMBAWANG STRAITS,683.0,975.0,780,1106,0,0,0,0
8,LIM CHU KANG,778.0,944.0,969,935,0,0,0,0
9,GUL BASIN,804.0,517.0,564,435,0,0,0,0
10,PANG SUA,855.0,816.0,524,491,0,0,0,0
11,SHIPYARD,873.0,969.0,564,690,0,0,0,0
12,SAMULUN,890.0,456.0,600,358,0,0,0,0
13,ISTANA NEGARA,974.0,1069.0,679,710,0,0,0,0
14,BENOI SECTOR,986.0,969.0,639,690,0,0,0,0
15,RESERVOIR VIEW,1042.0,944.0,856,877,0,0,0,0
16,PAYA LEBAR WEST,1050.0,812.0,603,460,0,0,0,0
17,AIRPORT ROAD,1103.0,1073.0,407,399,0,0,0,0
18,MANDAI WEST,1123.0,727.0,956,630,0,0,0,0
19,MONK'S HILL,1198.0,821.0,861,631,0,0,0,0
20,SENGKANG WEST,1231.0,1437.0,1164,1242,0,0,0,0
21,PLAB,1254.0,1950.0,726,1293,0,0,0,0
22,PAYA LEBAR EAST,1271.0,1391.0,887,964,0,0,0,0
23,MAXWELL,1283.0,763.0,1234,715,0,0,0,0
24,TUAS VIEW,1310.0,1171.0,1380,1019,0,0,0,0
25,PENJURU CRESCENT,1385.0,1961.0,1020,1455,0,0,0,0
26,ORANGE GROVE,1398.0,776.0,1304,635,0,0,0,0
27,PHILLIP,1404.0,109.0,541,38,0,0,0,0
28,TANGLIN,1471.0,1478.0,1123,1169,0,0,0,0
29,SENTOSA,1538.0,939.0,2819,2425,0,0,0,0
30,JURONG PORT,1563.0,1414.0,1077,1052,0,0,0,0
31,OXLEY,1825.0,1931.0,1693,1776,0,0,0,0
32,SELETAR AEROSPACE PARK,1855.0,1917.0,1211,1313,0,0,0,0
