ind,node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core,weekday_in_core_lvl,weekday_out_core_lvl,weekend_in_core_lvl,weekend_out_core_lvl,weekday_ksc_ent_in,weekday_ksc_ent_out,weekend_ksc_ent_in,weekend_ksc_ent_out
0,TENGEH,271.0,315.0,232,264,0,0,0,0,0.921664781325915,0.6915952232475179,0.8862629462285802,0.171731877572606
1,MARINA SOUTH,349.0,317.0,371,331,0,0,0,0,0.0,0.9985017413113558,0.31984379930716517,0.998623941716923
2,SAFTI,412.0,1441.0,340,1019,0,0,0,0,0.6764021080577249,0.013616636826658847,0.6930177285049846,0.017263963197414967
3,PIONEER SECTOR,499.0,699.0,404,563,0,0,0,0,0.16174785104838332,0.0,0.1066594459494775,0.05269803541223962
4,TUAS VIEW EXTENSION,650.0,620.0,740,635,0,0,0,0,0.0,0.37479063287574105,0.0,0.2539363894508224
5,LORONG HALUS,651.0,486.0,558,301,0,0,0,0,0.14061286308872575,0.9761558533021355,0.09362254528931357,0.9716829016432355
6,THE WHARVES,652.0,1564.0,694,1539,0,0,0,0,0.9859473105565256,0.9675673091784246,0.9866056826318891,0.8280139865899573
7,SEMBAWANG STRAITS,683.0,975.0,780,1106,0,0,0,0,0.7508414607613634,0.8267205834818114,0.7313091372842202,0.7982149516330481
8,LIM CHU KANG,778.0,944.0,969,935,0,0,0,0,0.9524810519917903,0.9587198805291204,0.9396253446558434,0.9845948203468777
9,GUL BASIN,804.0,517.0,564,435,0,0,0,0,0.09711166992989141,0.29664935774057666,0.09687929065184119,0.4926635497039592
10,PANG SUA,855.0,816.0,524,491,0,0,0,0,0.9001759973103537,0.995304317384088,0.9490953192167477,0.9982025149144469
11,SHIPYARD,873.0,969.0,564,690,0,0,0,0,0.7517342940380694,0.5193088225994946,0.7788809174075753,0.5842253388420625
12,SAMULUN,890.0,456.0,600,358,0,0,0,0,0.22637775968315288,0.4092224631712812,0.25043138548097565,0.306219075060198
13,ISTANA NEGARA,974.0,1069.0,679,710,0,0,0,0,0.6919676048290847,0.567686300320928,0.6697632075336881,0.5885380158895619
14,BENOI SECTOR,986.0,969.0,639,690,0,0,0,0,0.14927825605510556,0.29347751828522106,0.16906072833579056,0.3467293799321867
15,RESERVOIR VIEW,1042.0,944.0,856,877,0,0,0,0,0.8289418669210785,0.9942840688851615,0.9165738214067944,0.9530366370779377
16,PAYA LEBAR WEST,1050.0,812.0,603,460,0,0,0,0,0.32679309745589097,0.8471485297794343,0.3509483717079546,0.8231668899295087
17,AIRPORT ROAD,1103.0,1073.0,407,399,0,0,0,0,0.6946554557359327,0.12927789656145627,0.9655760709490236,0.3325730640645005
