ind,node,weekday_spreader,weekday_susceptible,weekend_spreader,weekend_susceptible
0,BOULEVARD,0.519911148023885,0.59040812595732,0.589042342826151,0.676022030577482
1,NEWTON CIRCUS,0.389278688568567,0.402115454886217,0.374778904984328,0.385122848714287
2,CHINATOWN,0.543824849696936,0.39458041121825,0.561095805701648,0.409160579566226
3,CITY HALL,0.486788069386767,0.418667842111655,0.51025717385834,0.436622229362227
4,MOULMEIN,0.40763871185297,0.423255966073177,0.394969995776054,0.406689149408041
5,FARRER PARK,0.377579506929587,0.462363932472689,0.45884638197367,0.561890329711554
6,SOMERSET,0.484166660316417,0.461639586109306,0.523366144287796,0.491933045816902
7,VICTORIA,0.456898976978273,0.384283837118506,0.507071811848069,0.427063662530565
8,DHOBY GHAUT,0.444525950474586,0.435971980619808,0.454317584277253,0.440599472076172
9,RAFFLES PLACE,0.281407091216541,0.295773361402667,0.209642238820827,0.220035723610074
10,LAVENDER,0.36851059595753,0.418150161953372,0.380144009435143,0.415377572253464
11,BUGIS,0.38560097548525,0.398945436552239,0.40535927603484,0.403018891112559
12,CLARKE QUAY,0.398180652422029,0.384287997664212,0.37395541790368,0.375752419029301
13,TANJONG PAGAR,0.282791727455922,0.257247371899575,0.24452802684682,0.183074120831243
14,BAYFRONT SUBZONE,0.227486880493934,0.234367137769232,0.297631498678718,0.291654081193783
15,CENTRAL SUBZONE,0.353774084228989,0.37665629496183,0.265950881118154,0.275330056567333
16,PEOPLE'S PARK,0.300115715582183,0.411868334175533,0.299277720842177,0.390195947446805
17,KAMPONG JAVA,0.254356996340424,0.299682025797973,0.242697046952129,0.266240556985652
18,MARINA CENTRE,0.33586623224231,0.343646542843633,0.366719494663213,0.355535402868067
19,SINGAPORE GENERAL HOSPITAL,0.361702391226435,0.374989177011512,0.323110951732487,0.331881190627338
20,BRAS BASAH,0.348125738706202,0.340584088461569,0.344452930063383,0.330849566357368
21,BENCOOLEN,0.299036245759544,0.231872868725039,0.335113365896811,0.241635245377995
22,CHINA SQUARE,0.341352114768299,0.246050806113347,0.340905266222216,0.242132953047733
23,CRAWFORD,0.303555170144147,0.306528555707109,0.312271020749344,0.279236971409617
24,PEARL'S HILL,0.30553362477505,0.249483971116662,0.320648984727044,0.257355961020174
25,ROBERTSON QUAY,0.22989595632547,0.250520112639957,0.234139213481501,0.259386008300702
26,NASSIM,0.270647612835226,0.299847467655377,0.263209162143184,0.288613997087202
27,EVERTON PARK,0.264173168995956,0.234793906535579,0.254745819999569,0.222817810845467
28,SUNGEI ROAD,0.254852678086801,0.234063806145229,0.297874055687381,0.266224902195133
29,CHATSWORTH,0.270334491990497,0.259974029330991,0.270408715426591,0.264277843504545
30,CECIL,0.287729066747243,0.29136850480686,0.185993949793132,0.167076198633091
31,MACKENZIE,0.252955087797808,0.137981912880244,0.31071631547961,0.15530703204956
32,FORT CANNING,0.167361112418644,0.187515547018815,0.178451556948163,0.195710472404573
33,SELEGIE,0.174023698546299,0.140674501238759,0.166008261369095,0.148602889617279
34,BOAT QUAY,0.157349522353691,0.207975858521627,0.157910179251384,0.195621160826575
35,MALCOLM,0.251187496722545,0.276481479650771,0.240191019928338,0.257056493091143
36,INSTITUTION HILL,0.147216329636853,0.098843115937188,0.153789321571166,0.105337023290038
37,GOODWOOD PARK,0.125780744984204,0.112392894072994,0.121282315468811,0.109144999587704
38,CLIFFORD PIER,0.217615178235505,0.222607409116531,0.182431521240538,0.16212401141481
39,ONE TREE HILL,0.198442647433766,0.192205692771187,0.221339401456242,0.1970532374112
40,KAMPONG GLAM,0.17557257447118,0.173161391637943,0.183229238967039,0.170100903996359
41,ROCHOR CANAL,0.146759223127864,0.148921145535325,0.156211675255746,0.177002921665631
42,ANSON,0.173104438491421,0.174709238108732,0.143081569491374,0.152694793950695
43,LEONIE HILL,0.126432562655383,0.159558327056512,0.123415552517036,0.155341155166924
44,PATERSON,0.265992190764972,0.147177895869177,0.326599878957516,0.181774897927599
45,ORANGE GROVE,0.079747316601276,0.055865825250625,0.08317931071385,0.060635914565858
46,STRAITS VIEW,0.042485049975268,0.154698847538214,0.111484068172732,0.17713763446282
47,LITTLE INDIA,0.13259809809403,0.146738621269069,0.147198431029737,0.182556504822794
48,PHILLIP,0,0.084065023468533,0,0.059434876519376
49,OXLEY,0.098957196206728,0.126743942829385,0.102622187308185,0.140929743719223
50,TANGLIN,0.071184640774637,0.104698439172535,0.074670737389633,0.109420664045079
51,MONK'S HILL,0.061048648430472,0.072998335301018,0.066106438666865,0.07508626386585
52,MAXWELL,0.092008348683104,0.091723164032517,0.101215308838163,0.102614048258175
53,MARINA SOUTH,0,0,0,0
54,ISTANA NEGARA,0.089745620153056,0.061324415334691,0.080830336115548,0.059740540857153
55,SENGKANG TOWN CENTRE,0.424954746025477,0.427664942023194,0.412726879864963,0.401234542968837
56,HOUGANG CENTRAL,0.418777666661431,0.371838541639482,0.404859576095365,0.368285624986416
57,BISHAN EAST,0.483999642583213,0.442571907724611,0.477591210496126,0.418059342651158
58,MATILDA,0.363950403827486,0.383528799219759,0.380762623588135,0.397827899682792
59,HOUGANG WEST,0.362515296508724,0.309363913963003,0.324233657391727,0.292375178452311
60,RIVERVALE,0.279680538861987,0.364837900914205,0.252846535918489,0.348772887898155
61,PUNGGOL FIELD,0.349988472536373,0.332512028015803,0.351202948116356,0.310176241200896
62,ANCHORVALE,0.191702791306178,0.2531373676172,0.179602222117231,0.227054738927711
